filename	task	run	session	size_bytes	acq_time	notes
eeg/sub-11244_task-ASSR_run-01_eeg.bdf	ASSR	01	n/a	53728256	n/a	n/a
eeg/sub-11244_task-AVSRT_run-01_eeg.bdf	AVSRT	01	n/a	99588608	n/a	n/a
eeg/sub-11244_task-Beepflash_run-01_eeg.bdf	Beepflash	01	n/a	140515328	n/a	n/a
eeg/sub-11244_task-FAST_run-01_eeg.bdf	FAST	01	n/a	103176704	n/a	n/a
eeg/sub-11244_task-IC_run-01_eeg.bdf	IC	01	n/a	90506240	n/a	n/a
eeg/sub-11244_task-motor_run-01_eeg.vhdr	motor	01	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-02_eeg.vhdr	motor	02	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-03_eeg.vhdr	motor	03	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-04_eeg.vhdr	motor	04	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-05_eeg.vhdr	motor	05	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-06_eeg.vhdr	motor	06	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-07_eeg.vhdr	motor	07	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-08_eeg.vhdr	motor	08	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-09_eeg.vhdr	motor	09	n/a	1915	n/a	n/a
eeg/sub-11244_task-motor_run-10_eeg.vhdr	motor	10	n/a	1915	n/a	n/a
eeg/sub-11244_task-Restingstate_run-01_eeg.bdf	Restingstate	01	n/a	17174528	n/a	n/a
eeg/sub-11244_task-Restingstate_run-02_eeg.bdf	Restingstate	02	n/a	17174528	n/a	n/a
